keys,en,pt_BR,es,zh_CN,ja,ko,de,fr,ru
HUD_SHIELDS,Shields,Escudos,,,,,,,
HUD_HULL,Hull,Casco,,,,,,,
HUD_RELOADING,RELOADING,RECARREGANDO,,,,,,,
HUD_WARNING_ENEMIES,WARNING // INCOMING ENEMIES,AVISO // INIMIGOS SE APROXIMANDO,,,,,,,

LEVEL_COMPLETE_TITLE,LEVEL COMPLETE,NÍVEL CONCLUÍDO,,,,,,,
LEVEL_COMPLETE_SUB,Click or press ENTER to continue,Clique ou pressione ENTER para continuar,,,,,,,

MENU_TITLE,N O V A S T O R M,N O V A S T O R M,,,,,,,
MENU_SUBTITLE,RAIL-SHOOTER  //  ORBITAL,RAIL-SHOOTER  //  ORBITAL,,,,,,,
MENU_START_GAME,START GAME,INICIAR JOGO,,,,,,,
MENU_SETTINGS,SETTINGS,CONFIGURAÇÕES,,,,,,,
MENU_GRAPHICS,GRAPHICS SETTINGS,CONFIGURAÇÕES GRÁFICAS,,,,,,,
MENU_LANGUAGE,LANGUAGE,IDIOMA,,,,,,,
MENU_VERSION,v0.5  —  Novastorm,v0.5  —  Novastorm,,,,,,,

SETTINGS_TITLE,SETTINGS,CONFIGURAÇÕES,,,,,,,
SETTINGS_TOOLTIP,Settings,Configurações,,,,,,,
SETTINGS_RESET,Restore Defaults,Restaurar Padrão,,,,,,,
SETTINGS_CLOSE,Close,Fechar,,,,,,,

TUTORIAL_TAG,// COMBAT PROTOCOL // TUTORIAL,// PROTOCOLO DE COMBATE // TUTORIAL,,,,,,,
TUTORIAL_FIRE,FIRE,DISPARAR,,,,,,,
TUTORIAL_HINT_FIRE,◄ USE THIS BUTTON TO FIRE MISSILES,◄ USE ESTE BOTÃO PARA DISPARAR MÍSSEIS,,,,,,,

REPLAY_DEV_LOOK_BACK,🔄 DEV: Look Back (F / B),🔄 DEV: Olhar para Trás (F / B),,,,,,,
REPLAY_TITLE,🎥 3D REPLAY,🎥 REPLAY 3D,,,,,,,
REPLAY_HINTS,"[SPACE]: Play/Pause | [◀ / ▶]: Frame by Frame | [C]: Camera | [H]: Hitboxes | RMB + WASD: Free Fly","[ESPAÇO]: Play/Pause | [◀ / ▶]: Frame a Frame | [C]: Câmera | [H]: Hitboxes | Botão Dir. Mouse + WASD: Voo Livre",,,,,,,
REPLAY_EXIT,✕ Return to Game (F4),✕ Voltar ao Jogo (F4),,,,,,,
REPLAY_STEP_BACK,◀ Frame,◀ Quadro,,,,,,,
REPLAY_PLAY,▶ Play,▶ Reproduzir,,,,,,,
REPLAY_PAUSE,⏸ Pause,⏸ Pausar,,,,,,,
REPLAY_STEP_FWD,Frame ▶,Quadro ▶,,,,,,,
REPLAY_TIME,Frame: %d / %d | Time: %.2fs / %.2fs,Quadro: %d / %d | Tempo: %.2fs / %.2fs,,,,,,,
REPLAY_SPEED,Speed: %.2fx,Velocidade: %.2fx,,,,,,,
REPLAY_CAM_FREE,📷 Camera: Free (C),📷 Câmera: Livre (C),,,,,,,
REPLAY_CAM_RECORDED,📷 Camera: Recorded (C),📷 Câmera: Gravada (C),,,,,,,
REPLAY_HITBOX_ON,📦 3D Hitboxes: ON (H),📦 Hitboxes 3D: LIGADAS (H),,,,,,,
REPLAY_HITBOX_OFF,📦 3D Hitboxes: OFF (H),📦 Hitboxes 3D: DESLIGADAS (H),,,,,,,

SETTINGS_SHADOWS,Shadows,Sombras,,,,,,,
SETTINGS_GLOW,Glow (Bloom),Glow (Brilho / Bloom),,,,,,,
SETTINGS_SSAO,SSAO (Ambient Occlusion),SSAO (Oclusão de Ambiente),,,,,,,
SETTINGS_SSIL,SSIL (Indirect Lighting),SSIL (Luz Indireta),,,,,,,
SETTINGS_LANGUAGE,Language,Idioma,,,,,,,
